@
Linux 4.14.0-115.el7a.aarch64 (localhost.localdomain) 	2019年03月12日 	_aarch64_	(64 CPU)

01时06分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分06秒   16   87.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   12.24
01时06分06秒   17   55.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   41.00
01时06分06秒   18   46.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   50.00
01时06分06秒   19   65.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.00
01时06分06秒   20   37.37    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   55.56
01时06分06秒   21   26.67    0.00   13.33    0.00    0.00    0.00    0.00    0.00    0.00   60.00
01时06分06秒   22   50.50    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   44.55
01时06分06秒   23   35.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   57.00
01时06分06秒   24   52.53    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   45.45
01时06分06秒   25   25.25    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   67.68
01时06分06秒   26   32.29    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   62.50
01时06分06秒   27   46.88    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   51.04
01时06分06秒   28   49.48    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   47.42
01时06分06秒   29   34.69    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   59.18
01时06分06秒   30   36.00    0.00    7.00    0.00    0.00    1.00    0.00    0.00    0.00   56.00
01时06分06秒   31   38.10    0.00    9.52    0.00    0.00    0.00    0.00    0.00    0.00   52.38
01时06分06秒   32   25.74    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   71.29
01时06分06秒   33   25.51    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   69.39
01时06分06秒   34   44.12    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   53.92
01时06分06秒   35   30.39    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   65.69
01时06分06秒   36   24.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
01时06分06秒   37   31.68    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   65.35
01时06分06秒   38   37.50    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   57.29
01时06分06秒   39   25.74    0.00    4.95    0.00    0.00    0.99    0.00    0.00    0.00   68.32
01时06分06秒   40   24.75    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   71.29
01时06分06秒   41   29.70    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   68.32
01时06分06秒   42   34.95    0.00    2.91    0.00    0.00    0.00    0.00    0.00    0.00   62.14
01时06分06秒   43   23.23    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   74.75
01时06分06秒   44   45.16    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   52.69
01时06分06秒   45   38.61    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   60.40
01时06分06秒   46   25.51    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   72.45
01时06分06秒   47   21.05    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   76.84
01时06分06秒   48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分06秒   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01时06分06秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分07秒  all   25.13    0.00    2.77    0.00    0.00    0.39    0.00    0.00    0.00   71.71
01时06分07秒    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   16   61.62    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   37.37
01时06分07秒   17   56.73    0.00    2.88    0.00    0.00    0.00    0.00    0.00    0.00   40.38
01时06分07秒   18   70.30    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   24.75
01时06分07秒   19   65.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.65
